,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
0,Bachelor,Other,Male,Single,19,70b8db40-4f58-476f-8776-c00802b0cdb9,14,0,0,1,1.0,Austria,Yes,Travel_Rarely,Sales,1,Sales Representative,2121,Yes,13,3,Very High,Medium,Medium,Medium
1,College,Technical Degree,Female,Married,30,0722da7a-530b-41dd-b705-c79f7627f677,16,0,0,4,7.0,España,No,Non-Travel,Sales,2,Sales Executive,4736,Yes,12,2,Very High,High,High,Medium
2,College,Life Sciences,Male,Single,22,b5fed13f-7785-4daf-bb8c-1037f84e5fa7,20,0,0,4,0.0,República Checa,No,Travel_Rarely,Research & Development,1,Research Scientist,3375,No,12,2,Very High,High,High,Very High
3,College,Technical Degree,Male,Married,42,4b0a1169-b286-44fb-a453-b97ca934db57,11,1,5,22,1.0,Misisipi,No,Travel_Rarely,Research & Development,5,Manager,19232,No,11,3,High,High,Very High,Very High
4,Master,Life Sciences,Female,Single,36,6affb754-8e52-43a7-9e97-4e373ef5fccb,13,0,7,17,3.0,Portugal,No,Travel_Rarely,Sales,2,Sales Representative,4502,No,15,2,High,High,Very High,High
5,Bachelor,Medical,Male,Single,32,098c5463-e599-44ad-95f7-922ffe4b3d20,15,0,0,10,2.0,Noruega,No,Travel_Rarely,Research & Development,3,Manager,11244,No,25,5,High,High,Very High,Medium
6,Bachelor,Medical,Female,Married,43,69658f26-48fa-4573-8317-2668b70f54a9,4,0,6,21,7.0,Italia,No,Travel_Rarely,Research & Development,5,Manager,19392,No,13,2,Low,Medium,High,Very High
7,Below College,Medical,Male,Married,50,e3b6a3f7-9046-494f-a3a3-396caa04c5b8,2,0,2,20,1.0,Bélgica,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3221,Yes,11,3,Very High,Very High,High,High
8,Bachelor,Medical,Female,Divorced,38,0ce9edf2-7655-47ab-918d-2e6f511ace72,4,0,8,17,7.0,Croacia,No,Non-Travel,Research & Development,2,Research Scientist,5329,Yes,12,3,Medium,Low,Very High,Very High
9,Master,Life Sciences,Male,Married,41,4c27df95-d97d-4165-8792-f39a3477a650,23,1,1,7,2.0,Grecia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2238,No,21,2,High,High,Low,Very High
10,Bachelor,Life Sciences,Female,Married,27,00bd794d-9419-41d0-86cf-348d1c35c893,11,0,3,8,0.0,Bélgica,No,Travel_Frequently,Research & Development,1,Research Scientist,4774,No,19,2,Very High,Medium,Low,Very High
11,Below College,Technical Degree,Male,Single,22,3c212f34-4095-470c-b8a7-1147e4fc38bb,13,1,2,4,5.0,Noruega,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,3894,No,16,3,High,Medium,High,High
12,Master,Life Sciences,Male,Single,46,f7f2a39c-2d93-4377-a975-e62f3b47ae13,17,0,3,19,6.0,Wyoming,No,Travel_Rarely,Research & Development,2,Healthcare Representative,5562,No,14,3,High,High,Medium,Very High
13,Master,Medical,Male,Single,37,16c56649-71d8-4838-9c96-4be92132d7cf,3,0,1,16,4.0,Delaware,No,Travel_Rarely,Research & Development,3,Research Director,13664,No,13,3,Low,High,High,Low
14,,Life Sciences,Male,Single,41,c5824d7b-9539-4de7-9308-c05472a4afdf,8,0,1,21,3.0,Texas,No,Travel_Rarely,Sales,3,Sales Executive,7082,Yes,16,2,Very High,High,High,Very High
15,Below College,Medical,Male,Single,21,2b8f1f1e-3c57-4141-aadb-50d4a258bc72,5,1,2,3,1.0,Italia,No,Travel_Rarely,Research & Development,1,Research Scientist,3117,No,18,2,High,High,,High
16,Bachelor,Life Sciences,Female,Single,30,b890a7d2-2d53-4570-a8cc-56d4f2ca9065,18,0,0,11,2.0,Iowa,No,,Research & Development,2,Manufacturing Director,6091,No,20,2,High,Low,Very High,High
17,Master,Medical,Male,Single,55,dc9e265c-6915-4805-b272-f3354ea07f32,11,1,14,36,8.0,Finlandia,No,,Research & Development,5,Research Director,18722,No,11,3,High,Very High,Medium,Very High
18,College,Life Sciences,Male,Married,34,9f414465-76a0-43ac-8fe5-3bce11183bf1,18,0,0,6,1.0,Utah,No,Travel_Rarely,Research & Development,1,Research Scientist,3622,Yes,13,3,Medium,Medium,Very High,Very High
19,College,Life Sciences,Female,Married,26,1c22851e-587d-493c-996f-ecf618faa5fb,2,1,0,1,1.0,Dinamarca,No,Travel_Rarely,Research & Development,1,Research Scientist,2933,Yes,13,3,Medium,Medium,High,High
20,Below College,Medical,Female,Single,25,aacfc140-6fd5-4dae-9fa0-428100a4a947,6,1,4,6,1.0,Croacia,No,Travel_Rarely,Sales,2,Sales Executive,6180,No,23,5,High,High,Very High,Medium
21,College,Medical,Female,Single,18,6915942d-c6f3-46b6-9858-6017853ca41c,0,0,0,0,1.0,Indiana,Yes,Travel_Frequently,Sales,1,Sales Representative,1569,Yes,12,2,Medium,High,Very High,High
22,Master,Life Sciences,Male,Single,58,326d3298-faf1-4ce9-a5e0-66169bb095cb,13,9,1,40,7.0,Maine,Yes,Travel_Rarely,Research & Development,5,Research Director,19246,Yes,12,2,Very High,High,Medium,Very High
23,Bachelor,Medical,Female,Married,44,aec56b61-f9e0-4aba-94b9-c6037f3fb1f9,15,3,6,23,3.0,California,No,Travel_Rarely,Sales,4,Sales Executive,13320,Yes,18,2,Very High,Very High,Very High,High
24,College,Life Sciences,Female,Married,38,6c0a20d7-0bb5-4e4c-a2df-520c640169a4,7,0,0,19,3.0,Dinamarca,No,Travel_Rarely,Research & Development,3,Research Director,12061,No,17,2,Low,Medium,Medium,High
25,College,Technical Degree,Male,Single,28,f3442d9f-b942-42ad-8d87-6f8d4136c634,20,0,4,10,1.0,Alaska,Yes,,Research & Development,3,Healthcare Representative,8722,No,12,2,Medium,Medium,Low,Low
26,Master,Life Sciences,Male,Married,52,ba5016dd-4253-442b-a6ad-73c991eadeca,15,9,2,34,0.0,Suecia,No,Travel_Rarely,Research & Development,5,Manager,19999,No,14,5,High,Medium,High,Low
27,Bachelor,Medical,Male,Married,33,3085385d-8064-4e71-b919-97fc0aaa25bb,0,0,0,8,5.0,Illinois,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2436,Yes,13,2,High,High,,High
28,Bachelor,Marketing,Female,Single,50,6cbc484d-a30e-4f5f-8c16-2213d0c16418,9,0,1,16,4.0,Portugal,No,Travel_Frequently,Sales,3,Sales Executive,9208,No,11,3,High,High,Very High,Very High
29,College,Other,Male,Married,42,c45589dc-fcbd-4128-8a3e-c659ac039076,18,2,0,8,4.0,Montana,No,,Research & Development,1,Laboratory Technician,2093,No,17,4,Medium,High,High,Very High
30,Below College,Medical,Female,Single,23,213967c8-f7e9-4a74-a31d-94a45f477144,15,0,1,3,1.0,República Checa,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3295,No,13,3,High,High,Medium,High
31,Below College,Marketing,Female,Married,52,55c435ea-8879-4f4a-9c73-530833b9759b,3,4,2,33,1.0,Croacia,Yes,Travel_Rarely,Sales,5,Manager,19845,No,15,3,Low,Low,Very High,Very High
32,Bachelor,Human Resources,Male,Married,38,24becd17-94fe-4a30-b6ff-b198ea724cb2,19,0,0,7,1.0,Maryland,No,,Human Resources,1,Human Resources,2844,No,13,2,High,Very High,High,Very High
33,Master,Medical,Female,Married,30,9010096b-63b0-4bba-89b5-9ce79e9c9e69,8,0,0,9,1.0,Maine,No,Travel_Rarely,Research & Development,3,Manager,11916,Yes,23,2,Medium,High,Low,Very High
34,Bachelor,Medical,Male,Single,30,42ca5ad8-0baf-4a7c-91a5-95488a002010,4,0,0,1,1.0,New Hampshire,Yes,Travel_Rarely,Sales,1,Sales Representative,1081,No,13,3,Medium,High,Very High,High
35,Bachelor,Medical,Male,Single,24,650a8dd2-f031-42de-8e26-999fbf2cfa14,16,0,0,4,2.0,Ohio,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,3172,Yes,11,2,Medium,High,Low,High
36,,Marketing,Male,Single,47,31c394a2-0cd9-48e0-b13f-4fccda606f78,13,1,3,20,2.0,Grecia,No,Travel_Rarely,Sales,2,Sales Executive,4960,No,12,2,Very High,High,,Very High
37,Bachelor,Medical,Female,Single,32,ac5efc25-c434-4a40-a00a-12f2b5425ba7,23,0,0,10,7.0,Dakota del Norte,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,4200,No,22,2,Low,High,,Low
38,Bachelor,Medical,Female,Married,35,0419a541-d0c1-4993-b8a8-b8d205136155,19,0,0,10,0.0,Rumania,No,Travel_Rarely,Research & Development,2,Laboratory Technician,5363,No,12,0,Very High,Medium,Very High,Medium
