,Education,EducationField,Gender,MaritalStatus,Age,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
0,Bachelor,Other,Male,Single,19,0,0,1,1.0,Austria,Yes,Travel_Rarely,Sales,1,Sales Representative,2121,Yes,13,3,Very High,Medium,Medium,Medium
1,College,Technical Degree,Female,Married,30,0,0,4,7.0,España,No,Non-Travel,Sales,2,Sales Executive,4736,Yes,12,2,Very High,High,High,Medium
2,College,Life Sciences,Male,Single,22,0,0,4,0.0,República Checa,No,Travel_Rarely,Research & Development,1,Research Scientist,3375,No,12,2,Very High,High,High,Very High
3,College,Technical Degree,Male,Married,42,1,5,22,1.0,Misisipi,No,Travel_Rarely,Research & Development,5,Manager,19232,No,11,3,High,High,Very High,Very High
4,Master,Life Sciences,Female,Single,36,0,7,17,3.0,Portugal,No,Travel_Rarely,Sales,2,Sales Representative,4502,No,15,2,High,High,Very High,High
5,Bachelor,Medical,Male,Single,32,0,0,10,2.0,Noruega,No,Travel_Rarely,Research & Development,3,Manager,11244,No,25,5,High,High,Very High,Medium
6,Bachelor,Medical,Female,Married,43,0,6,21,7.0,Italia,No,Travel_Rarely,Research & Development,5,Manager,19392,No,13,2,Low,Medium,High,Very High
7,Below College,Medical,Male,Married,50,0,2,20,1.0,Bélgica,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3221,Yes,11,3,Very High,Very High,High,High
8,Bachelor,Medical,Female,Divorced,38,0,8,17,7.0,Croacia,No,Non-Travel,Research & Development,2,Research Scientist,5329,Yes,12,3,Medium,Low,Very High,Very High
9,Master,Life Sciences,Male,Married,41,1,1,7,2.0,Grecia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2238,No,21,2,High,High,Low,Very High
10,Bachelor,Life Sciences,Female,Married,27,0,3,8,0.0,Bélgica,No,Travel_Frequently,Research & Development,1,Research Scientist,4774,No,19,2,Very High,Medium,Low,Very High
11,Below College,Technical Degree,Male,Single,22,1,2,4,5.0,Noruega,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,3894,No,16,3,High,Medium,High,High
12,Master,Life Sciences,Male,Single,46,0,3,19,6.0,Wyoming,No,Travel_Rarely,Research & Development,2,Healthcare Representative,5562,No,14,3,High,High,Medium,Very High
13,Master,Medical,Male,Single,37,0,1,16,4.0,Delaware,No,Travel_Rarely,Research & Development,3,Research Director,13664,No,13,3,Low,High,High,Low
14,,Life Sciences,Male,Single,41,0,1,21,3.0,Texas,No,Travel_Rarely,Sales,3,Sales Executive,7082,Yes,16,2,Very High,High,High,Very High
15,Below College,Medical,Male,Single,21,1,2,3,1.0,Italia,No,Travel_Rarely,Research & Development,1,Research Scientist,3117,No,18,2,High,High,,High
16,Bachelor,Life Sciences,Female,Single,30,0,0,11,2.0,Iowa,No,,Research & Development,2,Manufacturing Director,6091,No,20,2,High,Low,Very High,High
17,Master,Medical,Male,Single,55,1,14,36,8.0,Finlandia,No,,Research & Development,5,Research Director,18722,No,11,3,High,Very High,Medium,Very High
18,College,Life Sciences,Male,Married,34,0,0,6,1.0,Utah,No,Travel_Rarely,Research & Development,1,Research Scientist,3622,Yes,13,3,Medium,Medium,Very High,Very High
19,College,Life Sciences,Female,Married,26,1,0,1,1.0,Dinamarca,No,Travel_Rarely,Research & Development,1,Research Scientist,2933,Yes,13,3,Medium,Medium,High,High
20,Below College,Medical,Female,Single,25,1,4,6,1.0,Croacia,No,Travel_Rarely,Sales,2,Sales Executive,6180,No,23,5,High,High,Very High,Medium
21,College,Medical,Female,Single,18,0,0,0,1.0,Indiana,Yes,Travel_Frequently,Sales,1,Sales Representative,1569,Yes,12,2,Medium,High,Very High,High
22,Master,Life Sciences,Male,Single,58,9,1,40,7.0,Maine,Yes,Travel_Rarely,Research & Development,5,Research Director,19246,Yes,12,2,Very High,High,Medium,Very High
23,Bachelor,Medical,Female,Married,44,3,6,23,3.0,California,No,Travel_Rarely,Sales,4,Sales Executive,13320,Yes,18,2,Very High,Very High,Very High,High
24,College,Life Sciences,Female,Married,38,0,0,19,3.0,Dinamarca,No,Travel_Rarely,Research & Development,3,Research Director,12061,No,17,2,Low,Medium,Medium,High
25,College,Technical Degree,Male,Single,28,0,4,10,1.0,Alaska,Yes,,Research & Development,3,Healthcare Representative,8722,No,12,2,Medium,Medium,Low,Low
26,Master,Life Sciences,Male,Married,52,9,2,34,0.0,Suecia,No,Travel_Rarely,Research & Development,5,Manager,19999,No,14,5,High,Medium,High,Low
